,drama name,aired,ratings,no of ratings,synopsis,screenwriter,director,genre,country,episodes,type,original network,duration,ranking,popularity,content rating
0,Guardian: The Lonely and Great God ,"Dec  2, 2016 - Jan 21, 2017",8.8,162645,"Kim Sin was once an unbeatable general in Goryeo's military who died tragically. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Sin has searched for his bride, a mortal who can pull out the sword and end his life. 

One day, he encounters Ji Eun Tak, a positive, upbeat high school student who can see the dead and has gone through tragic events yet still stays strong. She claims to be the Goblin's bride who can end his immortal life, but what appears to be an easy task only gets complicated as the two fall in love.

(Source: AJ at MyDramaList)  English 中文(台灣) ภาษาไทย Arabic",Kim Eun Sook,Lee Eung Bok,"Comedy, Romance, Fantasy, Melodrama",South Korea,16,Drama,tvN,1 hr. 15 min.,#174,#1,15+ - Teens 15 or older
1,Strong Girl Bong Soon ,"Feb 24, 2017 - Apr 15, 2017",8.7,171081,"Do Bong Sun is a petite, unemployed woman who is honest and kind. She appears little and sweet on the outside, but she is, in fact, very, very strong. For generations in her family, the women have been gifted with Herculean strength to use for the greater good. If abused, however, their power will be taken away.

Whilst standing up for herself after gang members bully her, she finds herself approached by An Min Hyeok, the handsome and somewhat childish CEO of Ainsoft, a gaming company. An Min Hyeok, who holds a great distrust towards the police, witnessed the whole exchange of Bong Sun's superhuman strength and now wants to employ her as a bodyguard after being threatened by an unknown enemy. Min Hyeok falls in love with super-strong Bong Sun at first sight, but there's a catch. Bong Sun has eyes for someone else, a police officer and childhood friend, In Guk Du, whom she has known since high school.

When chaos ensues after a series of kidnappings in Do Bong Sin's hometown of Dobong-dong, Dobong-gu, Bong Sun must decide whether to use her strength and stand up to evil or play it safe and keep her powers hidden from the world. Combined with the love triangle she faces between In Guk Du and An Min Hyeok, as well as having to keep Min Hyeok safe, Bong Sun's life is thrown into turmoil. Can she use her strength for the greater good, or will it prove in the end to be too much?

(Source: AJ at MyDramaList)  English 한국어 ภาษาไทย Arabic",Baek Mi Kyung,Lee Hyung Min,"Action, Comedy, Romance, Supernatural",South Korea,16,Drama,jTBC,1 hr. 7 min.,#297,#2,15+ - Teens 15 or older
2,It's Okay to Not Be Okay ,"Jun 20, 2020 - Aug  9, 2020",8.8,155783,"Moon Gang Tae is a community health worker at a psychiatric ward who was blessed with everything including a great body, smarts, ability to sympathize with others, patience, ability to react quickly, stamina, and more. Meanwhile, Ko Moon Young is a popular writer of children’s literature who, due to suffering from an antisocial personality disorder, seems extremely selfish, arrogant, and rude.

Moon Gang Tae denies love and Ko Moon Young doesn’t know it. The two defy fate and fall in love, finding their souls and identities in the process. 

(Source: Soompi & Koreandrama.org)  English 한국어 中文(简体) 中文(台灣)",Jo Yong,"Park Shin Woo, Jung Dong Yoon","Psychological, Comedy, Romance, Drama",South Korea,16,Drama,tvN,1 hr. 15 min.,#133,#3,15+ - Teens 15 or older
3,What's Wrong with Secretary Kim ,"Jun  6, 2018 - Jul 26, 2018",8.5,148765,"The series revolves around the narcissistic Lee Young Joon, the vice president of a company run by his family. He is very self-absorbed and thinks highly of himself, so much that he barely acknowledges the people around him. Lee Young Joon has a capable and patient secretary Kim Mi So who has remained by his side and worked diligently for 9 years without any romantic involvement. However, Mi So now wants to set her life & focus on herself so when she decides to resign from her job, hilarious misunderstandings ensue. After 9 years of their strictly-workplace relationship, can it now develop in something more?

(Source: AJ at MyDramaList)

~~ Adapted from the webtoon ""Kimbiseoga Wae Geureolgga"" (김 비서가 왜 그럴까) by Jung Kyung Yoon (정경윤).  English 한국어 中文(简体) ภาษาไทย","Baek Sun Woo, Choi Bo Rim, Jung Eun Yeong",Park Joon Hwa,"Business, Comedy, Romance",South Korea,16,Drama,tvN,1 hr. 9 min.,#643,#4,15+ - Teens 15 or older
4,Crash Landing on You ,"Dec 14, 2019 - Feb 16, 2020",9,155619,"After getting into a paragliding accident, South Korean heiress Yun Se Ri crash lands in North Korea. There, she meets North Korean army officer Ri Jeong Hyeok, who agrees to help her return to South Korea. Despite the tension between their countries, the two of them start falling for one another.

(Source: queen of repressed rage at MyDramaList)  English 한국어 中文(简体) 中文(台灣)",Park Ji Eun,Lee Jeong Hyo,"Military, Comedy, Romance, Political",South Korea,16,Drama,tvN,1 hr. 25 min.,#70,#5,15+ - Teens 15 or older
5,Descendants of the Sun ,"Feb 24, 2016 - Apr 14, 2016",8.6,137523,"A love story that develops between a surgeon and a special forces officer.

Kang Mo Yeon is a pretty and assertive woman who works as a cardiothoracic surgeon at Haesung Hospital. She isn't afraid to admit her mistakes and believes that capability overrides whatever connections you have. However, she is soon faced with the reality that she cannot advance with just capability. Her life is forever changed when she encounters Yoo Si Jin, the Captain and team leader of the Alpha Team who cares more about protecting anybody in need of help as well as his country, even if it goes against the order of his superiors. 

It tells the story of how they both bond together in a time of war and overcome the odds against them.

(Source: AJ at MyDramaList)  English 한국어 ภาษาไทย Arabic","Kim Eun Sook, Kim Won Seok","Baek Sang Hoon, Lee Eung Bok","Action, Comedy, Romance, Melodrama",South Korea,16,Drama,KBS2,60 min.,#397,#6,15+ - Teens 15 or older
6,Weightlifting Fairy Kim Bok Joo ,"Nov 16, 2016 - Jan 11, 2017",8.7,145569,"Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine when it comes to relationships. Focusing solely on weightlifting would jeopardize her relationship but leaving her weightlifting career for love would keep her from attaining her dreams.

Can she find a way to have love as well as glory at the age of 20? The characters within this drama are elite athletes in weightlifting, swimming and rhythmic gymnastics who work hard to reach their goals in life. It covers their coming-of-age stories and relationships through hectic life.

(Source: MBC)

~~ Inspired by the life of South Korean Olympic weightlifter gold-medalist Jang Mi Ran.  English 한국어 中文(简体) ภาษาไทย","Yang Hee Seung, Kim Soo Jin","Oh Hyun Jong, Nam Sung Woo","Comedy, Romance, Life, Sports",South Korea,16,Drama,MBC,60 min.,#214,#7,15+ - Teens 15 or older
7,Business Proposal ,"Feb 28, 2022 - Apr  5, 2022",8.7,177940,"Sin Ha Ri, a single woman, has a crush on her male friend but is heartbroken to learn he has a girlfriend. She meets her friend Jin Yeong Seo, the daughter of a chaebol family, who asks Sin Ha Ri to take her place on a blind date in exchange for money. Sin Ha Ri agrees and goes on the date intending to get rejected. However, she is shocked to discover that her date is Kang Tae Mu, the CEO of her company.

Kang Tae Mu, annoyed by his grandfather's blind date arrangements, decides to marry the next woman he meets to avoid further interference. That woman turns out to be Sin Ha Ri, disguised as Jin Yeong Seo. The next day, Kang Tae Mu calls her and asks her to marry him.

(Source: MyDramaList)

~~ Adapted from the web novel ""The Office Blind Date"" (사내 맞선) by Hae Hwa (해화).  English 中文(简体) 中文(台灣) ภาษาไทย","Han Sul Hee, Hong Bo Hee",Park Seon Ho,"Comedy, Romance, Drama",South Korea,12,Drama,SBS,60 min.,#312,#8,15+ - Teens 15 or older
8,W ,"Jul 20, 2016 - Sep 14, 2016",8.4,129226,"O Seong Mu, the father of cardiothoracic surgeon O Yeon Ju, mysteriously goes missing while writing the last chapter of his webtoon ""W"". Yeon Ju goes to his office looking, but a hand from his monitor suddenly pulls her in, and she finds herself on the rooftop of a building, next to a bloodied man. She manages to save the person, only to realize that he is Kang Cheol, the main character of her father's webtoon. Yeon Ju later discovers she can only enter and leave the webtoon depending on Kang Cheol's feelings.

(Source: MyDramaList)  English 한국어 ภาษาไทย Arabic",Song Jae Jung,"Jeong Dae Yun, Park Seung Woo","Thriller, Comedy, Romance, Fantasy",South Korea,16,Drama,MBC,60 min.,#666,#9,15+ - Teens 15 or older
9,True Beauty ,"Dec  9, 2020 - Feb  4, 2021",8.3,139670,"""True Beauty"" is a romantic comedy about a high school girl, Lim Ju Gyeong, who rises to pretty girl fame after she masters the art of make-up from YouTube. She turns into a goddess because of her makeup skills, but would rather die than reveal her bare face to anyone. It tells her love story with the only boy that saw her without makeup, Lee Su Ho. Lee Su Ho is an attractive and handsome boy who appears cold because of his dark past but is actually very caring. They grow when they meet each other, share their secrets and find love with each other, but can Su Ho make Ju Gyeong find her true beauty?

(Source: Wikipedia)

~~ Adapted from the webtoon ""True Beauty"" (여신강림) by Yaongyi (야옹이).  English 中文(简体) 日本語 ภาษาไทย",Lee Shi Eun,Kim Sang Hyub,"Comedy, Romance, Youth, Drama",South Korea,16,Drama,tvN,1 hr. 15 min.,#1124,#10,15+ - Teens 15 or older
10,Hotel del Luna ,"Jul 13, 2019 - Sep  1, 2019",8.5,109013,"In the heart of Seoul stands a mysterious, ancient hotel, managed by the greedy and resentful Jang Man Wol, who has spent a thousand years running it. Bound by a deity to prevent her from self-destructing due to her anger and thirst for revenge, Man Wol’s only chance of freedom lies in letting go of her hatred and finding love. Her eternal curse forces her to serve the bizarre clientele of the hotel. When Goo Chan Sung, a former hotel assistant manager, is forced to take over due to a deal made by his father, he helps manage the hotel’s finances, possibly offering the key to Man Wol’s redemption.

(Source: MyDramaList)  English 한국어 中文(简体) ภาษาไทย","Hong Jeong Eun, Hong Mi Ran",Oh Choong Hwan,"Horror, Comedy, Romance, Fantasy",South Korea,16,Drama,tvN,1 hr. 19 min.,#495,#11,15+ - Teens 15 or older
11,Vincenzo ,"Feb 20, 2021 - May  2, 2021",8.9,126989,"At the age of eight, Park Joo Hyeong left for Italy after being adopted. Now an adult, he is known as Vincenzo Cassano and employed by a Mafia family as a consigliere. Due to warring Mafia factions, he flies to South Korea where he gets involved with lawyer Hong Cha Young. She is the type of attorney who will do anything to win a case. Now back in his motherland, he gives an unrivalled conglomerate a taste of his own medicine—with a side of his own version of justice.

(Source: Netflix, AsianWiki)  English 한국어 中文(台灣) 日本語",Park Jae Bum,Kim Hee Won,"Comedy, Law, Crime, Drama",South Korea,20,Drama,tvN,1 hr. 25 min.,#119,#12,15+ - Teens 15 or older
12,Squid Game ,"Sep 17, 2021",8.4,156031,"After a failed business venture, the debt-ridden chauffeur Seong Gi Hun lives his life gambling away the money he mooches off his elderly mother while failing to provide for her and his estranged daughter. When his life finally hits rock bottom, he receives an irresistible offer promising him a ₩45.6 billion prize in exchange for winning traditional Korean children's games against 455 other players, among them his childhood friend Cho Sang U. Commencing the games, the participants soon learn of the deadly consequences that come with losing.

(Source: MyDramaList)  English 中文(台灣) 中文(简体) ภาษาไทย",Hwang Dong Hyuk,Hwang Dong Hyuk,"Action, Thriller, Mystery, Drama",South Korea,9,Drama,Netflix,60 min.,#675,#13,18+ Restricted (violence & profanity)
